Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
1,2,4.0,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9.5,9.201732919863252,8.679743624369785,7.333159275979244,7.287478712552286,8.694928810918496,7.174505376423466,Tài chính ngân hàng
0,2,4.0,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.541261793884178,8.785262523504974,7.05876790667208,7.015511906984195,7.0777499812672175,7.363787928261194,Xây dựng
1,2,4.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.5,8.57390369455669,7.337736619829515,7.475675921868048,7.014283230605924,7.482318364459927,8.798828373850847,Nông học
0,0,4.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,8.52206570124729,8.593276947524194,8.73310375938447,7.540395862305944,7.124955288925115,7.400105538976086,Kinh doanh quốc tế
1,0,4.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,8.505738620406252,8.263972458744478,8.313795962469266,8.544406007287636,8.234772827609154,8.388627691608379,Kiểm toán
1,1,4.0,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,8.5,7.473007569665828,8.607876739118318,7.150998134456258,7.38687828849152,7.054019218646819,7.393197998730103,Sinh học ứng dụng
0,1,3.0,5.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9.5,9.67308247754545,5.503339973529198,5.702846879161685,7.086138573863392,9.65085533375656,9.505323990551489,Nông học
0,1,4.0,4.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5.75,5.625185420718259,5.602059641975012,8.483554059647268,5.886005242835581,7.084569456221536,7.004275529762728,Khoa học máy tính
0,3,4.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,7.370938798548858,7.0226623744484895,8.435785505452596,7.282835444603979,6.977344974449132,7.271405277663247,Khoa học máy tính
0,5,3.0,3.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7.25,7.782264946007301,5.736484183787033,7.4820972711115585,8.329677466724895,8.526064736514071,8.798321634180907,Quản trị kinh doanh
1,0,4.0,5.0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,9.5,8.46226209310232,6.982301709498917,8.746660286931496,8.402294660084955,9.66574168520981,9.447873908713456,Thiết kế thời trang
0,1,2.0,2.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5.75,5.771560703355074,2.5006612763693425,5.706537129751508,5.698116408736704,2.2782181559606327,2.7536304292695304,Hệ thống thông tin
1,3,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.673067721159963,8.606893234601925,7.16952641983285,7.064317788692556,7.267676335076804,7.489059513685698,Tin học ứng dụng
0,1,4.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8.5,8.535001297356379,7.534324488625984,7.14102445080091,7.136602417638127,7.433253555779997,7.053712225901278,Công nghệ thông tin
0,1,1.0,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.5,9.511252789256796,9.231923192743672,9.468573701864852,9.325421622101054,9.641122388146057,9.594613774659026,Khoa học máy tính
1,2,4.0,4.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.4243126143971905,8.428036116571471,8.27944348093228,7.18388152550538,7.052050239973844,7.040868189470582,Răng hàm mặt
