Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
0,Sở thích,4.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Khoa học máy tính
0,Năng lực bản thân,4.0,4.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5.75,5.75,5.75,8.5,5.75,7.25,7.25,Khoa học máy tính
0,Sở thích,3.0,4.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,7.25,7.25,Khoa học máy tính
0,Sở thích,3.0,4.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,9.5,9.5,Khoa học máy tính
1,Sở thích,5.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,9.5,8.5,9.5,9.5,8.5,8.5,9.5,Chính trị học
0,Nguyện vọng của gia đình,4.0,5.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.75,7.25,5.75,5.75,7.25,7.25,7.25,Quản trị kinh doanh
0,Sở thích,4.0,5.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5.75,7.25,7.25,8.5,7.25,5.75,7.25,Quản lý đất đai
0,Năng lực bản thân,3.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,5.75,5.75,7.25,Công nghệ thông tin
0,"Tư vấn từ thầy cô, bạn bè",2.0,4.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,5.75,5.75,7.25,Công nghệ thông tin
1,Sở thích,4.0,3.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,7.25,7.25,8.5,Truyền thông mạng máy tính
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Truyền thông mạng máy tính
1,Năng lực bản thân,4.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,5.75,7.25,7.25,Công nghệ phần mềm
1,Năng lực bản thân,4.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,5.75,7.25,7.25,Công nghệ phần mềm
0,Sở thích,2.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,5.75,5.75,7.25,Khoa học máy tính
1,Năng lực bản thân,4.0,5.0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,9.5,7.25,8.5,7.25,9.5,9.5,Tin học ứng dụng
1,Sở thích,5.0,5.0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,Công nghệ thông tin
0,Sở thích,3.0,4.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,8.5,9.5,7.25,8.5,7.25,8.5,8.5,Khoa học máy tính
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,2.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,7.25,5.75,5.75,7.25,Khoa học máy tính
0,Năng lực bản thân,2.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,7.25,2.5,2.5,7.25,8.5,7.25,Khoa học máy tính
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),4.0,4.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,9.5,7.25,8.5,7.25,7.25,9.5,9.5,Tin học ứng dụng
0,Sở thích,2.0,3.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8.5,8.5,9.5,7.25,7.25,9.5,9.5,Khoa học máy tính
0,Sở thích,2.0,4.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,8.5,8.5,Hệ thống thông tin
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,9.5,9.5,Khoa học máy tính
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,7.25,7.25,7.25,8.5,7.25,7.25,Khoa học máy tính
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,7.25,9.5,5.75,5.75,7.25,8.5,Tin học ứng dụng
0,Mức thu nhập của gia đình,1.0,5.0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,9.5,8.5,Tin học ứng dụng
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,3.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,8.5,8.5,8.5,Tin học ứng dụng
0,"Tư vấn từ thầy cô, bạn bè",3.0,3.0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,8.5,8.5,Tin học ứng dụng
0,Sở thích,2.0,4.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,8.5,7.25,Công nghệ thông tin
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),2.0,3.0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7.25,7.25,7.25,5.75,7.25,7.25,7.25,Tin học ứng dụng
0,Năng lực bản thân,1.0,3.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,5,Công nghệ thông tin
0,Sở thích,5.0,4.0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,9.5,8.5,7.25,8.5,7.25,8.5,8.5,Tin học ứng dụng
1,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),1.0,4.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Công nghệ thông tin
0,Sở thích,2.0,4.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,8.5,8.5,Công nghệ phần mềm
0,Nhu cầu cao của thị trường đối với ngành học (Khả năng tìm việc làm cao),3.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9.5,8.5,9.5,9.5,Công nghệ thông tin
0,"Tư vấn từ thầy cô, bạn bè",5.0,4.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.5,9.5,9.5,9.5,5,9.5,9.5,Hệ thống thông tin
