Gender,RFCM,Time,Influence,Du lịch,Thể thao điện tử,Phim ảnh,Âm nhạc,Thời trang,Đọc sánh,Hội họa - mỹ thuật,Thể thao,Chụp ảnh,chơi game,Biên tập viên,phóng viên,Viết,dancing,Uống trà sữa cùng hội chị em.,Maths_score,Physics_score,Chemistry_score,English_score,Literature_score,History_score,Geography_score,Major
0,1,4.0,5.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5.75,7.25,5.75,5.75,7.25,7.25,7.25,Quản trị kinh doanh
1,1,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,7.25,5.75,5.75,5.75,5.75,5.75,Quản trị kinh doanh
1,4,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2.5,8.5,9.5,5.75,5.75,5.75,Quản trị kinh doanh
1,3,5.0,5.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,5.75,5,8.5,8.5,Quản trị kinh doanh
0,4,5.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,8.5,8.5,5,7.25,7.25,7.25,Quản trị kinh doanh
1,4,3.0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,7.25,7.25,7.25,7.25,8.5,Quản trị kinh doanh
1,4,3.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8.5,7.25,8.5,5,5.75,8.5,8.5,Quản trị kinh doanh
1,3,4.0,1.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
0,4,3.0,3.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,8.5,8.5,9.5,Quản trị kinh doanh
1,5,4.0,1.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,9.5,9.5,7.25,7.25,7.25,7.25,Quản trị kinh doanh
0,0,3.0,3.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,7.25,5,5.75,7.25,8.5,8.5,8.5,Quản trị kinh doanh
1,5,4.0,5.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,8.5,8.5,5,7.25,5,8.5,8.5,Quản trị kinh doanh
1,1,2.0,2.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,8.5,8.5,7.25,Quản trị kinh doanh
0,0,2.0,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,8.5,8.5,8.5,Quản trị kinh doanh
1,4,3.0,1.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,5.75,7.25,7.25,8.5,5,7.25,9.5,Quản trị kinh doanh
1,2,4.0,1.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,5.75,8.5,8.5,Quản trị kinh doanh
1,4,4.0,4.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7.25,7.25,8.5,7.25,9.5,8.5,7.25,Quản trị kinh doanh
1,4,3.0,5.0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7.25,8.5,8.5,5,7.25,8.5,7.25,Quản trị kinh doanh
1,1,4.0,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7.25,7.25,8.5,5.75,8.5,7.25,8.5,Quản trị kinh doanh
1,2,4.0,2.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.25,8.5,8.5,7.25,7.25,5.75,8.5,Quản trị kinh doanh
1,5,5.0,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,5.75,7.25,7.25,8.5,8.5,7.25,Quản trị kinh doanh
0,4,5.0,4.0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,8.5,9.5,8.5,8.5,7.25,9.5,9.5,Quản trị kinh doanh
0,3,3.0,3.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8.5,7.25,8.5,8.5,8.5,8.5,8.5,Quản trị kinh doanh
0,4,3.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5,5.75,5.75,7.25,2.5,5.75,5.75,Quản trị kinh doanh
1,4,2.0,2.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7.25,5.75,5.75,7.25,5.75,2.5,2.5,Quản trị kinh doanh
1,4,2.0,3.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.5,5.75,2.5,7.25,7.25,8.5,7.25,Quản trị kinh doanh
1,1,4.0,2.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,7.25,7.25,5.75,7.25,2.5,5.75,7.25,Quản trị kinh doanh
1,1,5.0,2.0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,5.75,2.5,5.75,5.75,2.5,5.75,7.25,Quản trị kinh doanh
0,4,4.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Quản trị kinh doanh
0,2,4.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Quản trị kinh doanh
0,4,4.0,4.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Quản trị kinh doanh
1,3,4.0,4.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Quản trị kinh doanh
1,1,4.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,7.25,7.25,Quản trị kinh doanh
1,1,4.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Quản trị kinh doanh
1,1,4.0,4.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Quản trị kinh doanh
1,2,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,7.25,9.5,9.5,Quản trị kinh doanh
1,3,4.0,4.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,9.5,9.5,9.5,8.5,8.5,9.5,9.5,Quản trị kinh doanh
1,4,5.0,5.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,7.25,8.5,8.5,Quản trị kinh doanh
0,1,3.0,4.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,8.5,7.25,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
1,2,5.0,5.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8.5,9.5,7.25,9.5,8.5,8.5,8.5,Quản trị kinh doanh
1,2,4.0,5.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,7.25,Quản trị kinh doanh
0,3,4.0,3.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,7.25,7.25,8.5,7.25,7.25,7.25,Quản trị kinh doanh
1,4,3.0,5.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5,7.4,9.2,7.25,7.9,8.5,9.5,Quản trị kinh doanh
0,4,2.0,5.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.25,8.5,7.25,5.75,5.75,8.5,8.5,Quản trị kinh doanh
1,3,3.0,2.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9.5,9.5,9.5,9.5,8.5,9.5,9.5,Quản trị kinh doanh
0,2,3.0,4.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,9.5,9.5,Quản trị kinh doanh
1,2,5.0,5.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9.5,9.5,8.5,9.5,8.5,9.5,9.5,Quản trị kinh doanh
1,4,5.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,8.5,8.5,8.5,Quản trị kinh doanh
0,4,2.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,5.75,7.25,5.75,5.75,5.75,Quản trị kinh doanh
0,4,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,5.75,2.5,7.25,7.25,Quản trị kinh doanh
0,2,4.0,3.0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,8.5,8.5,8.5,5.75,7.25,7.25,7.25,Quản trị kinh doanh
1,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,8.5,7.25,7.25,Quản trị kinh doanh
0,2,3.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.5,7.25,7.25,8.5,7.25,8.5,8.5,Quản trị kinh doanh
0,3,4.0,4.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,7.25,8.5,7.25,8.5,7.25,9.5,9.5,Quản trị kinh doanh
1,2,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,8.5,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
1,4,2.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,7.25,8.5,7.25,8.5,8.5,Quản trị kinh doanh
1,2,3.0,2.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,7.25,8.5,Quản trị kinh doanh
1,2,4.0,4.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,8.5,8.5,9.5,8.5,7.25,8.5,8.5,Quản trị kinh doanh
1,3,3.0,5.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,8.5,7.25,7.25,8.5,8.5,Quản trị kinh doanh
0,2,4.0,4.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,5,Quản trị kinh doanh
0,4,1.0,5.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9.5,8.5,7.25,9.5,8.5,9.5,9.5,Quản trị kinh doanh
1,2,1.0,5.0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,9.5,9.5,7.25,9.5,8.5,7.25,7.25,Quản trị kinh doanh
1,2,5.0,4.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,8.5,8.5,8.5,8.5,Quản trị kinh doanh
1,2,3.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.5,8.5,7.25,9.5,8.5,8.5,8.5,Quản trị kinh doanh
1,2,2.0,4.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9.5,9.5,8.5,8.5,7.25,8.5,9.5,Quản trị kinh doanh
1,4,3.0,5.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,7.25,5.75,7.25,5.75,8.5,8.5,8.5,Quản trị kinh doanh
0,3,5.0,5.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,9.5,8.5,8.5,8.5,Quản trị kinh doanh
0,2,4.0,4.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,8.5,8.5,8.5,8.5,5.75,7.25,7.25,Quản trị kinh doanh
0,0,3.0,3.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,8.5,9.5,9.5,8.5,5.75,9.5,9.5,Quản trị kinh doanh
1,2,4.0,3.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8.5,7.25,7.25,7.25,7.25,7.25,8.5,Quản trị kinh doanh
